"","GRAD_DEBT_MDN"
"632","NULL"
"633","NULL"
"634","NULL"
"635","NULL"
"636","NULL"
"637","NULL"
"638","NULL"
"639","NULL"
"640","NULL"
"641","NULL"
"642","NULL"
"643","NULL"
"644","NULL"
"645","NULL"
"646","NULL"
"647","NULL"
"648","NULL"
"649","NULL"
"650","NULL"
"651","NULL"
"652","NULL"
"653","NULL"
"654","NULL"
"655","NULL"
"656","NULL"
"657","NULL"
"658","NULL"
"659","NULL"
"660","NULL"
"661","NULL"
"662","NULL"
"663","NULL"
"664","NULL"
"665","NULL"
"666","NULL"
"667","NULL"
"668","NULL"
"669","NULL"
"670","NULL"
"671","NULL"
"672","NULL"
"673","NULL"
"674","NULL"
"675","NULL"
"676","NULL"
"677","NULL"
"678","NULL"
"679","NULL"
"680","NULL"
"681","NULL"
"682","NULL"
"683","NULL"
"684","NULL"
"685","NULL"
"686","NULL"
"687","NULL"
"688","NULL"
"689","NULL"
"690","NULL"
"691","NULL"
"692","NULL"
"693","NULL"
"694","NULL"
"695","NULL"
"696","NULL"
"697","NULL"
"698","NULL"
"699","NULL"
"700","NULL"
"701","NULL"
"702","NULL"
"703","NULL"
"704","NULL"
"705","NULL"
"706","NULL"
"707","NULL"
"708","NULL"
"709","NULL"
"710","NULL"
"711","NULL"
"712","NULL"
"713","NULL"
"714","NULL"
"715","NULL"
"716","NULL"
"717","NULL"
"718","NULL"
"719","NULL"
"720","NULL"
"721","NULL"
"722","NULL"
"723","NULL"
"724","NULL"
"725","NULL"
"726","NULL"
"727","NULL"
"728","NULL"
"729","NULL"
"730","NULL"
"731","NULL"
"732","NULL"
"733","NULL"
"734","NULL"
"735","NULL"
"736","NULL"
"737","NULL"
"738","NULL"
"739","NULL"
"740","NULL"
"741","NULL"
"742","NULL"
"743","NULL"
"744","NULL"
"745","NULL"
"746","NULL"
"747","NULL"
"748","NULL"
"749","NULL"
"750","NULL"
"751","NULL"
"752","NULL"
"753","NULL"
"754","NULL"
"755","NULL"
"756","NULL"
"757","NULL"
"758","NULL"
"759","NULL"
"760","NULL"
"761","NULL"
"762","NULL"
"763","NULL"
"764","NULL"
"765","NULL"
"766","NULL"
"767","NULL"
"768","NULL"
"769","NULL"
"770","NULL"
"771","NULL"
"772","NULL"
"773","NULL"
"774","NULL"
"775","NULL"
"776","NULL"
"777","NULL"
"778","NULL"
"779","NULL"
"780","NULL"
"781","NULL"
"782","NULL"
"783","NULL"
"784","NULL"
"785","NULL"
"786","NULL"
"787","NULL"
"788","NULL"
"789","NULL"
"790","NULL"
"791","NULL"
"792","NULL"
"793","NULL"
"794","NULL"
"795","NULL"
"796","NULL"
"797","NULL"
"798","NULL"
"799","NULL"
"800","NULL"
"801","NULL"
"802","NULL"
"803","NULL"
"804","NULL"
"805","NULL"
"806","NULL"
"807","NULL"
"808","NULL"
"809","NULL"
"810","NULL"
"811","NULL"
"812","NULL"
"813","NULL"
"814","NULL"
"815","NULL"
"816","NULL"
"817","NULL"
"818","NULL"
"819","NULL"
"820","NULL"
"821","NULL"
"822","NULL"
"823","NULL"
"824","NULL"
"825","NULL"
"826","NULL"
"827","NULL"
"828","NULL"
"829","NULL"
"830","NULL"
"831","NULL"
"832","NULL"
"833","NULL"
"834","NULL"
"835","NULL"
"836","NULL"
"837","NULL"
"838","NULL"
"839","NULL"
"840","NULL"
"841","NULL"
"842","NULL"
"843","NULL"
"844","NULL"
"845","NULL"
"846","NULL"
"847","NULL"
"848","NULL"
"849","NULL"
"850","NULL"
"851","NULL"
"852","NULL"
"853","NULL"
"854","NULL"
"855","NULL"
"856","NULL"
"857","NULL"
"858","NULL"
"859","NULL"
"860","NULL"
"861","NULL"
"862","NULL"
"863","NULL"
"864","NULL"
"865","NULL"
"866","NULL"
"867","NULL"
"868","NULL"
"869","NULL"
"870","NULL"
"871","NULL"
"872","NULL"
"873","NULL"
"874","NULL"
"875","NULL"
"876","NULL"
"877","NULL"
"878","NULL"
"879","NULL"
"880","NULL"
"881","NULL"
"882","NULL"
"883","NULL"
"884","NULL"
"885","NULL"
"886","NULL"
"887","NULL"
"888","NULL"
"889","NULL"
"890","NULL"
"891","NULL"
"892","NULL"
"893","NULL"
"894","NULL"
"895","NULL"
"896","NULL"
"897","NULL"
"898","NULL"
"899","NULL"
"900","NULL"
"901","NULL"
"902","NULL"
"903","NULL"
"904","NULL"
"905","NULL"
"906","NULL"
"907","NULL"
"908","NULL"
"909","NULL"
"910","NULL"
"911","NULL"
"912","NULL"
"913","NULL"
"914","NULL"
"915","NULL"
"916","NULL"
"917","NULL"
"918","NULL"
"919","NULL"
"920","NULL"
"921","NULL"
"922","NULL"
"923","NULL"
"924","NULL"
"925","NULL"
"926","NULL"
"927","NULL"
"928","NULL"
"929","NULL"
"930","NULL"
"931","NULL"
"932","NULL"
"933","NULL"
"934","NULL"
"935","NULL"
"936","NULL"
"937","NULL"
"938","NULL"
"939","NULL"
"940","NULL"
"941","NULL"
"942","NULL"
"943","NULL"
"944","NULL"
"945","NULL"
"946","NULL"
"947","NULL"
"948","NULL"
"949","NULL"
"950","NULL"
"951","NULL"
"952","NULL"
"953","NULL"
"954","NULL"
"955","NULL"
"956","NULL"
"957","NULL"
"958","NULL"
"959","NULL"
"960","NULL"
"961","NULL"
"962","NULL"
"963","NULL"
"964","NULL"
"965","NULL"
"966","NULL"
"967","NULL"
"968","NULL"
"969","NULL"
"970","NULL"
"971","NULL"
"972","NULL"
"973","NULL"
"974","NULL"
"975","NULL"
"976","NULL"
"977","NULL"
"978","NULL"
"979","NULL"
"980","NULL"
"981","NULL"
"982","NULL"
"983","NULL"
"984","NULL"
"985","NULL"
"986","NULL"
"987","NULL"
"988","NULL"
"989","NULL"
"990","NULL"
"991","NULL"
"992","NULL"
"993","NULL"
"994","NULL"
"995","NULL"
"996","NULL"
"997","NULL"
"998","NULL"
"999","NULL"
"1000","NULL"
"1001","NULL"
"1002","NULL"
"1003","NULL"
"1004","NULL"
"1005","NULL"
"1006","NULL"
"1007","NULL"
"1008","NULL"
"1009","NULL"
"1010","NULL"
"1011","NULL"
"1012","NULL"
"1013","NULL"
"1014","NULL"
"1015","NULL"
"1016","NULL"
"1017","NULL"
"1018","NULL"
"1019","NULL"
"1020","NULL"
"1021","NULL"
"1022","NULL"
"1023","NULL"
"1024","NULL"
"1025","NULL"
"1026","NULL"
"1027","NULL"
"1028","NULL"
"1029","NULL"
"1030","NULL"
"1031","NULL"
"1032","NULL"
"1033","NULL"
"1034","NULL"
"1035","NULL"
"1036","NULL"
"1037","NULL"
"1038","NULL"
"1039","NULL"
"1040","NULL"
"1041","NULL"
"1042","NULL"
"1043","NULL"
"1044","NULL"
"1045","NULL"
"1046","NULL"
"1047","NULL"
"1048","NULL"
"1049","NULL"
"1050","NULL"
"1051","NULL"
"1052","NULL"
"1053","NULL"
"1054","NULL"
"1055","NULL"
"1056","NULL"
"1057","NULL"
"1058","NULL"
"1059","NULL"
"1060","NULL"
"1061","NULL"
"1062","NULL"
"1063","NULL"
"1064","NULL"
"1065","NULL"
"1066","NULL"
"1067","NULL"
"1068","NULL"
"1069","NULL"
"1070","NULL"
"1071","NULL"
"1072","NULL"
"1073","NULL"
"1074","NULL"
"1075","NULL"
"1076","NULL"
"1077","NULL"
"1078","NULL"
"1079","NULL"
"1080","NULL"
"1081","NULL"
"1082","NULL"
"1083","NULL"
"1084","NULL"
"1085","NULL"
"1086","NULL"
"1087","NULL"
"1088","NULL"
"1089","NULL"
"1090","NULL"
"1091","NULL"
"1092","NULL"
"1093","NULL"
"1094","NULL"
"1095","NULL"
"1096","NULL"
"1097","NULL"
"1098","NULL"
"1099","NULL"
"1100","NULL"
"1101","NULL"
"1102","NULL"
"1103","NULL"
"1104","NULL"
"1105","NULL"
"1106","NULL"
"1107","NULL"
"1108","NULL"
"1109","NULL"
"1110","NULL"
"1111","NULL"
"1112","NULL"
"1113","NULL"
"1114","NULL"
"1115","NULL"
"1116","NULL"
"1117","NULL"
"1118","NULL"
"1119","NULL"
"1120","NULL"
"1121","NULL"
"1122","NULL"
"1123","NULL"
"1124","NULL"
"1125","NULL"
"1126","NULL"
"1127","NULL"
"1128","NULL"
"1129","NULL"
"1130","NULL"
"1131","NULL"
"1132","NULL"
"1133","NULL"
"1134","NULL"
"1135","NULL"
"1136","NULL"
"1137","NULL"
"1138","NULL"
"1139","NULL"
"1140","NULL"
"1141","NULL"
"1142","NULL"
"1143","NULL"
"1144","NULL"
"1145","NULL"
"1146","NULL"
"1147","NULL"
"1148","NULL"
"1149","NULL"
"1150","NULL"
"1151","NULL"
"1152","NULL"
"1153","NULL"
"1154","NULL"
"1155","NULL"
"1156","NULL"
"1157","NULL"
"1158","NULL"
"1159","NULL"
"1160","NULL"
"1161","NULL"
"1162","NULL"
"1163","NULL"
"1164","NULL"
"1165","NULL"
"1166","NULL"
"1167","NULL"
"1168","NULL"
"1169","NULL"
"1170","NULL"
"1171","NULL"
"1172","NULL"
"1173","NULL"
"1174","NULL"
"1175","NULL"
"1176","NULL"
"1177","NULL"
"1178","NULL"
"1179","NULL"
"1180","NULL"
"1181","NULL"
"1182","NULL"
"1183","NULL"
"1184","NULL"
"1185","NULL"
"1186","NULL"
"1187","NULL"
"1188","NULL"
"1189","NULL"
"1190","NULL"
"1191","NULL"
"1192","NULL"
"1193","NULL"
"1194","NULL"
"1195","NULL"
"1196","NULL"
"1197","NULL"
"1198","NULL"
"1199","NULL"
"1200","NULL"
"1201","NULL"
"1202","NULL"
"1203","NULL"
"1204","NULL"
"1205","NULL"
"1206","NULL"
"1207","NULL"
"1208","NULL"
"1209","NULL"
"1210","NULL"
"1211","NULL"
"1212","NULL"
"1213","NULL"
"1214","NULL"
"1215","NULL"
"1216","NULL"
"1217","NULL"
"1218","NULL"
"1219","NULL"
"1220","NULL"
"1221","NULL"
"1222","NULL"
"1223","NULL"
"1224","NULL"
"1225","NULL"
"1226","NULL"
"1227","NULL"
"1228","NULL"
"1229","NULL"
"1230","NULL"
"1231","NULL"
"1232","NULL"
"1233","NULL"
"1234","NULL"
"1235","NULL"
"1236","NULL"
"1237","NULL"
"1238","NULL"
"1239","NULL"
"1240","NULL"
"1241","NULL"
"1242","NULL"
"1243","NULL"
"1244","NULL"
"1245","NULL"
"1246","NULL"
"1247","NULL"
"1248","NULL"
"1249","NULL"
"1250","NULL"
"1251","NULL"
"1252","NULL"
"1253","NULL"
"1254","NULL"
"1255","NULL"
"1256","NULL"
"1257","NULL"
"1258","NULL"
"1259","NULL"
"1260","NULL"
"1261","NULL"
"1262","NULL"
"1263","NULL"
"1264","NULL"
"1265","NULL"
"1266","NULL"
"1267","NULL"
"1268","NULL"
"1269","NULL"
"1270","NULL"
"1271","NULL"
"1272","NULL"
"1273","NULL"
"1274","NULL"
"1275","NULL"
"1276","NULL"
"1277","NULL"
"1278","NULL"
"1279","NULL"
"1280","NULL"
"1281","NULL"
"1282","NULL"
"1283","NULL"
"1284","NULL"
"1285","NULL"
"1286","NULL"
"1287","NULL"
"1288","NULL"
"1289","NULL"
"1290","NULL"
"1291","NULL"
"1292","NULL"
"1293","NULL"
"1294","NULL"
"1295","NULL"
"1296","NULL"
"1297","NULL"
"1298","NULL"
"1299","NULL"
"1300","NULL"
"1301","NULL"
"1302","NULL"
"1303","NULL"
"1304","NULL"
"1305","NULL"
"1306","NULL"
"1307","NULL"
"1308","NULL"
"1309","NULL"
"1310","NULL"
"1311","NULL"
"1312","NULL"
"1313","NULL"
"1314","NULL"
"1315","NULL"
"1316","NULL"
"1317","NULL"
"1318","NULL"
"1319","NULL"
"1320","NULL"
"1321","NULL"
"1322","NULL"
"1323","NULL"
"1324","NULL"
"1325","NULL"
"1326","NULL"
"1327","NULL"
"1328","NULL"
"1329","NULL"
"1330","NULL"
"1331","NULL"
"1332","NULL"
"1333","NULL"
"1334","NULL"
"1335","NULL"
"1336","NULL"
"1337","NULL"
"1338","NULL"
"1339","NULL"
"1340","NULL"
"1341","NULL"
"1342","NULL"
"1343","NULL"
"1344","NULL"
"1345","NULL"
"1346","NULL"
"1347","NULL"
"1348","NULL"
"1349","NULL"
"1350","NULL"
"1351","NULL"
"1352","NULL"
"1353","NULL"
"1354","NULL"
"1355","NULL"
"1356","NULL"
"1357","NULL"
"1358","NULL"
"1359","NULL"
"1360","NULL"
"1361","NULL"
"1362","NULL"
"1363","NULL"
"1364","NULL"
"1365","NULL"
"1366","NULL"
"1367","NULL"
"1368","NULL"
"1369","NULL"
"1370","NULL"
"1371","NULL"
"1372","NULL"
"1373","NULL"
"1374","NULL"
"1375","NULL"
"1376","NULL"
"1377","NULL"
"1378","NULL"
"1379","NULL"
"1380","NULL"
"1381","NULL"
"1382","NULL"
"1383","NULL"
"1384","NULL"
"1385","NULL"
"1386","NULL"
"1387","NULL"
"1388","NULL"
"1389","NULL"
"1390","NULL"
"1391","NULL"
"1392","NULL"
"1393","NULL"
"1394","NULL"
"1395","NULL"
"1396","NULL"
"1397","NULL"
"1398","NULL"
"1399","NULL"
"1400","NULL"
"1401","NULL"
"1402","NULL"
"1403","NULL"
"1404","NULL"
"1405","NULL"
"1406","NULL"
"1407","NULL"
"1408","NULL"
"1409","NULL"
"1410","NULL"
"1411","NULL"
"1412","NULL"
"1413","NULL"
"1414","NULL"
"1415","NULL"
"1416","NULL"
"1417","NULL"
"1418","NULL"
"1419","NULL"
"1420","NULL"
"1421","NULL"
"1422","NULL"
"1423","NULL"
"1424","NULL"
"1425","NULL"
"1426","NULL"
"1427","NULL"
"1428","NULL"
"1429","NULL"
"1430","NULL"
"1431","NULL"
"1432","NULL"
"1433","NULL"
"1434","NULL"
"1435","NULL"
"1436","NULL"
"1437","NULL"
"1438","NULL"
"1439","NULL"
"1440","NULL"
"1441","NULL"
"1442","NULL"
"1443","NULL"
"1444","NULL"
"1445","NULL"
"1446","NULL"
"1447","NULL"
"1448","NULL"
"1449","NULL"
"1450","NULL"
"1451","NULL"
"1452","NULL"
"1453","NULL"
"1454","NULL"
"1455","NULL"
"1456","NULL"
"1457","NULL"
"1458","NULL"
"1459","NULL"
"1460","NULL"
"1461","NULL"
"1462","NULL"
"1463","NULL"
"1464","NULL"
"1465","NULL"
"1466","NULL"
"1467","NULL"
"1468","NULL"
"1469","NULL"
"1470","NULL"
"1471","NULL"
"1472","NULL"
"1473","NULL"
"1474","NULL"
"1475","NULL"
"1476","NULL"
"1477","NULL"
"1478","NULL"
"1479","NULL"
"1480","NULL"
"1481","NULL"
"1482","NULL"
"1483","NULL"
"1484","NULL"
"1485","NULL"
"1486","NULL"
"1487","NULL"
"1488","NULL"
"1489","NULL"
"1490","NULL"
"1491","NULL"
"1492","NULL"
"1493","NULL"
"1494","NULL"
"1495","NULL"
"1496","NULL"
"1497","NULL"
"1498","NULL"
"1499","NULL"
"1500","NULL"
"1501","NULL"
"1502","NULL"
"1503","NULL"
"1504","NULL"
"1505","NULL"
"1506","NULL"
"1507","NULL"
"1508","NULL"
"1509","NULL"
"1510","NULL"
"1511","NULL"
"1512","NULL"
"1513","NULL"
"1514","NULL"
"1515","NULL"
"1516","NULL"
"1517","NULL"
"1518","NULL"
"1519","NULL"
"1520","NULL"
"1521","NULL"
"1522","NULL"
"1523","NULL"
"1524","NULL"
"1525","NULL"
"1526","NULL"
"1527","NULL"
"1528","NULL"
"1529","NULL"
"1530","NULL"
"1531","NULL"
"1532","NULL"
"1533","NULL"
"1534","NULL"
"1535","NULL"
"1536","NULL"
"1537","NULL"
"1538","NULL"
"1539","NULL"
"1540","NULL"
"1541","NULL"
"1542","NULL"
"1543","NULL"
"1544","NULL"
"1545","NULL"
"1546","NULL"
"1547","NULL"
"1548","NULL"
"1549","NULL"
"1550","NULL"
"1551","NULL"
"1552","NULL"
"1553","NULL"
"1554","NULL"
"1555","NULL"
"1556","NULL"
"1557","NULL"
"1558","NULL"
"1559","NULL"
"1560","NULL"
"1561","NULL"
"1562","NULL"
"1563","NULL"
"1564","NULL"
"1565","NULL"
"1566","NULL"
"1567","NULL"
"1568","NULL"
"1569","NULL"
"1570","NULL"
"1571","NULL"
"1572","NULL"
"1573","NULL"
"1574","NULL"
"1575","NULL"
"1576","NULL"
"1577","NULL"
"1578","NULL"
"1579","NULL"
"1580","NULL"
"1581","NULL"
"1582","NULL"
"1583","NULL"
"1584","NULL"
"1585","NULL"
"1586","NULL"
"1587","NULL"
"1588","NULL"
"1589","NULL"
"1590","NULL"
"1591","NULL"
"1592","NULL"
"1593","NULL"
"1594","NULL"
"1595","NULL"
"1596","NULL"
"1597","NULL"
"1598","NULL"
"1599","NULL"
"1600","NULL"
"1601","NULL"
"1602","NULL"
"1603","NULL"
"1604","NULL"
"1605","NULL"
"1606","NULL"
"1607","NULL"
"1608","NULL"
"1609","NULL"
"1610","NULL"
"1611","NULL"
"1612","NULL"
"1613","NULL"
"1614","NULL"
"1615","NULL"
"1616","NULL"
"1617","NULL"
"1618","NULL"
"1619","NULL"
"1620","NULL"
"1621","NULL"
"1622","NULL"
"1623","NULL"
"1624","NULL"
"1625","NULL"
"1626","NULL"
"1627","NULL"
"1628","NULL"
"1629","NULL"
"1630","NULL"
"1631","NULL"
"1632","NULL"
"1633","NULL"
"1634","NULL"
"1635","NULL"
"1636","NULL"
"1637","NULL"
"1638","NULL"
"1639","NULL"
"1640","NULL"
"1641","NULL"
"1642","NULL"
"1643","NULL"
"1644","NULL"
"1645","NULL"
"1646","NULL"
"1647","NULL"
"1648","NULL"
"1649","NULL"
"1650","NULL"
"1651","NULL"
"1652","NULL"
"1653","NULL"
"1654","NULL"
"1655","NULL"
"1656","NULL"
"1657","NULL"
"1658","NULL"
"1659","NULL"
"1660","NULL"
"1661","NULL"
"1662","NULL"
